# Dec (deg)	HA (hours)	Track len (sec)	Azimuth Angle (rad)
-73.5000000000	-1.8000000000	11685.3981337547	3.1238640142
-73.5000000000	-1.6000000000	11665.3981337547	3.1438756098
-73.5000000000	-1.4000000000	11695.3981337547	3.1645765528
-73.5000000000	-1.2000000000	11515.3981337547	3.1824147547
-73.5000000000	-1.0000000000	10795.3981337547	3.1933215130
-73.5000000000	-0.8000000000	10085.3981337547	3.2045649235
-73.5000000000	-0.6000000000	9365.3981337547	3.2158239004
-73.5000000000	-0.4000000000	8645.3981337547	3.2271673686
-73.5000000000	-0.2000000000	7935.3981337547	3.2386623387
-73.5000000000	0.0000000000	7215.3981337547	3.2499820385
-73.5000000000	0.2000000000	6495.3981337547	3.2611928803
-73.5000000000	0.4000000000	5775.3981337547	3.2722317322
-73.5000000000	0.6000000000	5065.3981337547	3.2831689588
-73.5000000000	0.8000000000	4345.3981337547	3.2936854415
-73.5000000000	1.0000000000	3625.3981337547	3.3038593388
-73.5000000000	1.2000000000	2915.3981337547	3.3137738217
-73.5000000000	1.4000000000	2195.3981337547	3.3231246508
-73.5000000000	1.6000000000	1475.3981337547	3.3320062882
-73.5000000000	1.8000000000	755.3981337547	3.3403881732
-73.5000000000	2.0000000000	35.3981337547	3.3482456451
-73.2500000000	-2.0663016089	11620.6306424141	3.0951801324
-73.2500000000	-2.0657540278	11620.6306424141	3.0952583447
-73.2500000000	-2.0652064468	11620.6306424141	3.0953359038
-73.2500000000	-2.0646588657	11620.6306424141	3.0954127500
-73.2500000000	-2.0641112847	11620.6306424141	3.0954888261
-73.2500000000	-2.0000000000	11580.6306424141	3.1013520469
-73.2500000000	-1.8000000000	11510.6306424141	3.1209353539
-73.2500000000	-1.6000000000	11490.6306424141	3.1413929593
-73.2500000000	-1.4000000000	11510.6306424141	3.1624302098
-73.2500000000	-1.2000000000	11590.6306424141	3.1841528570
-73.2500000000	-1.0000000000	11060.6306424141	3.1977725967
-73.2500000000	-0.8000000000	10350.6306424141	3.2092331930
-73.2500000000	-0.6000000000	9630.6306424141	3.2207147528
-73.2500000000	-0.4000000000	8910.6306424141	3.2322840753
-73.2500000000	-0.2000000000	8190.6306424141	3.2438750361
-73.2500000000	0.0000000000	7480.6306424141	3.2555515106
-73.2500000000	0.2000000000	6760.6306424141	3.2669849477
-73.2500000000	0.4000000000	6040.6306424141	3.2782409744
-73.2500000000	0.6000000000	5330.6306424141	3.2893878662
-73.2500000000	0.8000000000	4610.6306424141	3.3001049033
-73.2500000000	1.0000000000	3890.6306424141	3.3104685804
-73.2500000000	1.2000000000	3170.6306424141	3.3204297934
-73.2500000000	1.4000000000	2460.6306424141	3.3300761241
-73.2500000000	1.6000000000	1740.6306424141	3.3391085648
-73.2500000000	1.8000000000	1020.6306424141	3.3476269781
-73.2500000000	2.0000000000	300.6306424141	3.3556065017
-73.0000000000	-2.1331508101	11500.3257422447	3.0854718810
-73.0000000000	-2.1326032290	11500.3257422447	3.0855514553
-73.0000000000	-2.1320556479	11500.3257422447	3.0856304067
-73.0000000000	-2.1315080557	11500.3257422447	3.0857086749
-73.0000000000	-2.1309604746	11500.3257422447	3.0857862000
-73.0000000000	-2.0000000000	11430.3257422447	3.0982734857
-73.0000000000	-1.8000000000	11350.3257422447	3.1181113401
-73.0000000000	-1.6000000000	11320.3257422447	3.1388640446
-73.0000000000	-1.4000000000	11340.3257422447	3.1603760772
-73.0000000000	-1.2000000000	11410.3257422447	3.1824671372
-73.0000000000	-1.0000000000	11310.3257422447	3.2020795634
-73.0000000000	-0.8000000000	10590.3257422447	3.2136285291
-73.0000000000	-0.6000000000	9880.3257422447	3.2254655888
-73.0000000000	-0.4000000000	9160.3257422447	3.2372630435
-73.0000000000	-0.2000000000	8440.3257422447	3.2490833100
-73.0000000000	0.0000000000	7720.3257422447	3.2608570715
-73.0000000000	0.2000000000	7010.3257422447	3.2726461074
-73.0000000000	0.4000000000	6290.3257422447	3.2841213877
-73.0000000000	0.6000000000	5570.3257422447	3.2953490154
-73.0000000000	0.8000000000	4860.3257422447	3.3063989834
-73.0000000000	1.0000000000	4140.3257422447	3.3169537687
-73.0000000000	1.2000000000	3420.3257422447	3.3270937069
-73.0000000000	1.4000000000	2700.3257422447	3.3367744552
-73.0000000000	1.6000000000	1990.3257422447	3.3460888446
-73.0000000000	1.8000000000	1270.3257422447	3.3547438673
-73.0000000000	2.0000000000	550.3257422447	3.3628452462
-72.7500000000	-2.2000000000	11394.7279558182	3.0756747876
-72.7500000000	-2.1994524189	11394.7279558182	3.0757556386
-72.7500000000	-2.1989048379	11394.7279558182	3.0758358976
-72.7500000000	-2.1983572568	11394.7279558182	3.0759155025
-72.7500000000	-2.1978096758	11394.7279558182	3.0759943931
-72.7500000000	-2.1972620947	11394.7279558182	3.0760725112
-72.7500000000	-2.0000000000	11274.7279558182	3.0950057953
-72.7500000000	-1.8000000000	11194.7279558182	3.1152531767
-72.7500000000	-1.6000000000	11154.7279558182	3.1362956283
-72.7500000000	-1.4000000000	11164.7279558182	3.1581383622
-72.7500000000	-1.2000000000	11234.7279558182	3.1807405747
-72.7500000000	-1.0000000000	11364.7279558182	3.2038736170
-72.7500000000	-0.8000000000	10824.7279558182	3.2180107647
-72.7500000000	-0.6000000000	10104.7279558182	3.2299439752
-72.7500000000	-0.4000000000	9394.7279558182	3.2421025019
-72.7500000000	-0.2000000000	8674.7279558182	3.2541544455
-72.7500000000	0.0000000000	7954.7279558182	3.2661587614
-72.7500000000	0.2000000000	7234.7279558182	3.2780440848
-72.7500000000	0.4000000000	6524.7279558182	3.2898713674
-72.7500000000	0.6000000000	5804.7279558182	3.3013125259
-72.7500000000	0.8000000000	5084.7279558182	3.3124355122
-72.7500000000	1.0000000000	4364.7279558182	3.3231827149
-72.7500000000	1.2000000000	3654.7279558182	3.3336330405
-72.7500000000	1.4000000000	2934.7279558182	3.3434797952
-72.7500000000	1.6000000000	2214.7279558182	3.3528149479
-72.7500000000	1.8000000000	1494.7279558182	3.3616066135
-72.7500000000	2.0000000000	784.7279558182	3.3699602663
-72.7500000000	2.2000000000	64.7279558182	3.3775958327
-72.5000000000	-2.2663016089	11304.0746579170	3.0658991116
-72.5000000000	-2.2657540278	11304.0746579170	3.0659805918
-72.5000000000	-2.2652064468	11304.0746579170	3.0660614481
-72.5000000000	-2.2646588657	11304.0746579170	3.0661416189
-72.5000000000	-2.2641112847	11304.0746579170	3.0662210456
-72.5000000000	-2.2000000000	11254.0746579170	3.0721663597
-72.5000000000	-2.0000000000	11124.0746579170	3.0917096448
-72.5000000000	-1.8000000000	11034.0746579170	3.1122072040
-72.5000000000	-1.6000000000	10994.0746579170	3.1336948074
-72.5000000000	-1.4000000000	11004.0746579170	3.1560140571
-72.5000000000	-1.2000000000	11064.0746579170	3.1789798466
-72.5000000000	-1.0000000000	11194.0746579170	3.2026544852
-72.5000000000	-0.8000000000	11044.0746579170	3.2222477538
-72.5000000000	-0.6000000000	10324.0746579170	3.2344101321
-72.5000000000	-0.4000000000	9604.0746579170	3.2466708128
-72.5000000000	-0.2000000000	8894.0746579170	3.2590873279
-72.5000000000	0.0000000000	8174.0746579170	3.2713245941
-72.5000000000	0.2000000000	7454.0746579170	3.2834393106
-72.5000000000	0.4000000000	6744.0746579170	3.2954899275
-72.5000000000	0.6000000000	6024.0746579170	3.3071465381
-72.5000000000	0.8000000000	5304.0746579170	3.3184749772
-72.5000000000	1.0000000000	4584.0746579170	3.3294159639
-72.5000000000	1.2000000000	3874.0746579170	3.3400468700
-72.5000000000	1.4000000000	3154.0746579170	3.3500603069
-72.5000000000	1.6000000000	2434.0746579170	3.3595473535
-72.5000000000	1.8000000000	1714.0746579170	3.3684757158
-72.5000000000	2.0000000000	1004.0746579170	3.3769505696
-72.5000000000	2.2000000000	284.0746579170	3.3846923080
-72.2500000000	-2.2997262039	11188.5962204933	3.0589563439
-72.2500000000	-2.2991786228	11188.5962204933	3.0590390774
-72.2500000000	-2.2986310418	11188.5962204933	3.0591212059
-72.2500000000	-2.2980834607	11188.5962204933	3.0592026670
-72.2500000000	-2.2975358797	11188.5962204933	3.0592834001
-72.2500000000	-2.2000000000	11108.5962204933	3.0684726309
-72.2500000000	-2.0000000000	10978.5962204933	3.0883927231
-72.2500000000	-1.8000000000	10888.5962204933	3.1092990862
-72.2500000000	-1.6000000000	10848.5962204933	3.1312293173
-72.2500000000	-1.4000000000	10848.5962204933	3.1538673188
-72.2500000000	-1.2000000000	10898.5962204933	3.1771919774
-72.2500000000	-1.0000000000	11018.5962204933	3.2012717451
-72.2500000000	-0.8000000000	11208.5962204933	3.2258166796
-72.2500000000	-0.6000000000	10528.5962204933	3.2387325673
-72.2500000000	-0.4000000000	9818.5962204933	3.2513587676
-72.2500000000	-0.2000000000	9098.5962204933	3.2638813510
-72.2500000000	0.0000000000	8378.5962204933	3.2763540066
-72.2500000000	0.2000000000	7658.5962204933	3.2887004600
-72.2500000000	0.4000000000	6948.5962204933	3.3009765935
-72.2500000000	0.6000000000	6228.5962204933	3.3128506035
-72.2500000000	0.8000000000	5508.5962204933	3.3243861620
-72.2500000000	1.0000000000	4798.5962204933	3.3356525867
-72.2500000000	1.2000000000	4078.5962204933	3.3463347831
-72.2500000000	1.4000000000	3358.5962204933	3.3565155664
-72.2500000000	1.6000000000	2638.5962204933	3.3661548325
-72.2500000000	1.8000000000	1928.5962204933	3.3753502011
-72.2500000000	2.0000000000	1208.5962204933	3.3838156707
-72.2500000000	2.2000000000	488.5962204933	3.3916630375
-72.0000000000	-2.3665754050	11118.5161490440	3.0489126709
-72.0000000000	-2.3660278240	11118.5161490440	3.0489964917
-72.0000000000	-2.3654802429	11118.5161490440	3.0490797385
-72.0000000000	-2.3649326619	11118.5161490440	3.0491623478
-72.0000000000	-2.3643850808	11118.5161490440	3.0492442579
-72.0000000000	-2.3638374886	11118.5161490440	3.0493254094
-72.0000000000	-2.2000000000	10978.5161490440	3.0649399097
-72.0000000000	-2.0000000000	10838.5161490440	3.0850630117
-72.0000000000	-1.8000000000	10748.5161490440	3.1063795882
-72.0000000000	-1.6000000000	10698.5161490440	3.1285902005
-72.0000000000	-1.4000000000	10698.5161490440	3.1517057462
-72.0000000000	-1.2000000000	10748.5161490440	3.1755363096
-72.0000000000	-1.0000000000	10848.5161490440	3.1998647988
-72.0000000000	-0.8000000000	11028.5161490440	3.2248544727
-72.0000000000	-0.6000000000	10728.5161490440	3.2430411104
-72.0000000000	-0.4000000000	10008.5161490440	3.2557746782
-72.0000000000	-0.2000000000	9288.5161490440	3.2685363133
-72.0000000000	0.0000000000	8578.5161490440	3.2813769601
-72.0000000000	0.2000000000	7858.5161490440	3.2939575663
-72.0000000000	0.4000000000	7138.5161490440	3.3063312990
-72.0000000000	0.6000000000	6428.5161490440	3.3185547814
-72.0000000000	0.8000000000	5708.5161490440	3.3302991722
-72.0000000000	1.0000000000	4988.5161490440	3.3416318099
-72.0000000000	1.2000000000	4268.5161490440	3.3524967766
-72.0000000000	1.4000000000	3558.5161490440	3.3629756608
-72.0000000000	1.6000000000	2838.5161490440	3.3727674787
-72.0000000000	1.8000000000	2118.5161490440	3.3819692506
-72.0000000000	2.0000000000	1398.5161490440	3.3905554901
-72.0000000000	2.2000000000	688.5161490440	3.3986380052
-71.7500000000	-2.4328770139	11054.0512204170	3.0387867819
-71.7500000000	-2.4323294329	11054.0512204170	3.0388710748
-71.7500000000	-2.4317818518	11054.0512204170	3.0389547609
-71.7500000000	-2.4312342708	11054.0512204170	3.0390377771
-71.7500000000	-2.4306866897	11054.0512204170	3.0391200625
-71.7500000000	-2.4000000000	11024.0512204170	3.0418911277
-71.7500000000	-2.2000000000	10844.0512204170	3.0612308358
-71.7500000000	-2.0000000000	10704.0512204170	3.0817287762
-71.7500000000	-1.8000000000	10614.0512204170	3.1034569088
-71.7500000000	-1.6000000000	10554.0512204170	3.1259419240
-71.7500000000	-1.4000000000	10544.0512204170	3.1493746660
-71.7500000000	-1.2000000000	10594.0512204170	3.1737205293
-71.7500000000	-1.0000000000	10694.0512204170	3.1985890150
-71.7500000000	-0.8000000000	10864.0512204170	3.2240098232
-71.7500000000	-0.6000000000	10914.0512204170	3.2472052841
-71.7500000000	-0.4000000000	10194.0512204170	3.2601790229
-71.7500000000	-0.2000000000	9474.0512204170	3.2731822924
-71.7500000000	0.0000000000	8764.0512204170	3.2862631439
-71.7500000000	0.2000000000	8044.0512204170	3.2990803321
-71.7500000000	0.4000000000	7324.0512204170	3.3116842401
-71.7500000000	0.6000000000	6614.0512204170	3.3241288970
-71.7500000000	0.8000000000	5894.0512204170	3.3360838247
-71.7500000000	1.0000000000	5174.0512204170	3.3476143460
-71.7500000000	1.2000000000	4454.0512204170	3.3586631163
-71.7500000000	1.4000000000	3744.0512204170	3.3693104347
-71.7500000000	1.6000000000	3024.0512204170	3.3792550909
-71.7500000000	1.8000000000	2304.0512204170	3.3885935248
-71.7500000000	2.0000000000	1584.0512204170	3.3973002120
-71.7500000000	2.2000000000	874.0512204170	3.4054869603
-71.7500000000	2.4000000000	154.0512204170	3.4128829241
-71.5000000000	-2.4663016089	10965.4116191864	3.0316405228
-71.5000000000	-2.4657540278	10965.4116191864	3.0317259442
-71.5000000000	-2.4652064468	10965.4116191864	3.0318107777
-71.5000000000	-2.4646588657	10965.4116191864	3.0318949595
-71.5000000000	-2.4641112847	10965.4116191864	3.0319784275
-71.5000000000	-2.4000000000	10895.4116191864	3.0378439162
-71.5000000000	-2.2000000000	10715.4116191864	3.0575249443
-71.5000000000	-2.0000000000	10575.4116191864	3.0783985593
-71.5000000000	-1.8000000000	10475.4116191864	3.1003631597
-71.5000000000	-1.6000000000	10415.4116191864	3.1232928477
-71.5000000000	-1.4000000000	10405.4116191864	3.1472035712
-71.5000000000	-1.2000000000	10445.4116191864	3.1719007005
-71.5000000000	-1.0000000000	10535.4116191864	3.1971602308
-71.5000000000	-0.8000000000	10695.4116191864	3.2230170579
-71.5000000000	-0.6000000000	10945.4116191864	3.2493986517
-71.5000000000	-0.4000000000	10375.4116191864	3.2645715088
-71.5000000000	-0.2000000000	9655.4116191864	3.2778190458
-71.5000000000	0.0000000000	8935.4116191864	3.2910130561
-71.5000000000	0.2000000000	8225.4116191864	3.3041989093
-71.5000000000	0.4000000000	7505.4116191864	3.3170353131
-71.5000000000	0.6000000000	6785.4116191864	3.3295735728
-71.5000000000	0.8000000000	6065.4116191864	3.3417407588
-71.5000000000	1.0000000000	5355.4116191864	3.3536001540
-71.5000000000	1.2000000000	4635.4116191864	3.3648337609
-71.5000000000	1.4000000000	3915.4116191864	3.3755205330
-71.5000000000	1.6000000000	3195.4116191864	3.3856182922
-71.5000000000	1.8000000000	2485.4116191864	3.3952229302
-71.5000000000	2.0000000000	1765.4116191864	3.4040497130
-71.5000000000	2.2000000000	1045.4116191864	3.4122104430
-71.5000000000	2.4000000000	325.4116191864	3.4196944772
-71.2500000000	-2.5309604746	10922.8010711670	3.0216984133
-71.2500000000	-2.4997262039	10882.8010711670	3.0244201271
-71.2500000000	-2.4991786228	10882.8010711670	3.0245066445
-71.2500000000	-2.4986310418	10882.8010711670	3.0245925931
-71.2500000000	-2.4980834607	10882.8010711670	3.0246779092
-71.2500000000	-2.4000000000	10782.8010711670	3.0339957734
-71.2500000000	-2.2000000000	10592.8010711670	3.0538310566
-71.2500000000	-2.0000000000	10452.8010711670	3.0750811708
-71.2500000000	-1.8000000000	10342.8010711670	3.0972756820
-71.2500000000	-1.6000000000	10282.8010711670	3.1206516281
-71.2500000000	-1.4000000000	10262.8010711670	3.1448717799
